la_code,la_name,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
00-MC,Reading,96,1,99,0,0,1,3,30,46.4,0.1,300,5.9,12.3,78.1,300,2,4.2,0.1,20,0.8,1.1,7.4,15,761,3311,7595,16259,29705,49,162.8,110.2,141.5,184.1,416.3
00-MD,Slough,95,1,97,0,0,1,4,22,41.4,0.1,300,5.2,10.1,75.7,300,1.3,4.2,0,20,0.8,1.1,7.9,14,1826,4322,6879,9830,20734,10,178.2,114.9,148.4,210.1,325.6
00-ME,Windsor and Maidenhead,88,1,94,0,1,2,11,22.1,37.1,0.1,300,5.2,10.9,68.7,300,1.2,4.6,0.1,20,0.8,1.3,9.6,13.8,1561,6155,8156,13359,24197,4,140.5,81.9,109.1,177,178.6
00-MF,Wokingham,89,1,95,0,1,2,10,30,42.9,0.1,300,5.4,11.7,73.2,300,2,4.7,0.1,20,0.8,1.2,8.6,14.4,1374,4696,7266,14872,28914,8,137.5,79,109.4,164.7,317.2
00-MG,Milton Keynes,83,12,97,1,2,3,6,15.5,26.9,0,330,4.7,9.4,52.7,300.3,1,3.9,0,20,0.8,1,11.5,0,4504,16233,14830,20850,30734,784,167.8,105,125.6,241.8,247.8
00-ML,The City of Brighton and Hove,96,1,97,0,0,1,3,40,53.5,0,300,6,12.1,83.9,300,3,4.6,0,20,0.9,1.1,7.4,14.2,1397,5379,13048,25293,61178,30,147,98.3,121.3,166.7,308
00-MR,City of Portsmouth,96,0,96,0,1,2,4,40,53.4,0.2,300,5.6,10.9,84.7,300,3,4.4,0.1,20,0.9,1,7,14.6,987,5740,9249,14607,41356,13,136.4,89.1,110.1,156,370.5
00-MS,City of Southampton,94,0,94,0,0,1,6,20.7,45.1,0.1,300,6.2,11.5,85.2,300,1.2,4,0.1,20,0.8,1,7.7,15,1042,5448,15122,23342,37502,6,142.5,91,109.7,181.7,476.6
00-MW,Isle of Wight,92,0,100,0,1,2,8,17.2,23.3,0.1,80,5.9,12.8,52.8,0,1.1,3.2,0,20,0.9,1.2,10.8,0,1442,3721,9088,20955,12523,0,111.7,61.6,86.3,171.4,0
00-NA,Sir Ynys Mon - Isle of Anglesey,71,3,84,3,9,16,26,14.8,21.4,0.1,80,5.1,10.9,51.5,0,1.1,3.3,0.1,20,0.7,1.1,10.5,0,1627,3433,5403,8169,6484,0,98.9,52.8,78.1,152.9,0
